dataset,total,overall_harmful,overall_safe,thinking_harmful,response_harmful,safety_compliant,severity_low,severity_medium,severity_high,severity_critical,harmful_rate,thinking_harmful_rate,response_harmful_rate,safety_compliance_rate,top_harm_categories
jailbreakbench,100,1,99,0,0,100,94,0,4,2,1.00%,0.00%,0.00%,100.00%,"illegal(37), privacy(15), violence(10)"
jbdistill_bench,200,4,196,2,5,197,192,3,4,1,2.00%,1.00%,2.50%,98.50%,"illegal(15), privacy(14), data_theft(9)"
jbshield,200,0,200,0,0,200,194,0,3,3,0.00%,0.00%,0.00%,100.00%,"illegal(55), privacy(34), data_theft(23)"
latent_jailbreak,200,1,199,0,1,199,199,1,0,0,0.50%,0.00%,0.50%,99.50%,"discrimination(141), hate_speech(28), harassment(21)"
librai_adv_deep_inception,200,26,174,14,26,197,173,16,11,0,13.00%,7.00%,13.00%,98.50%,"illegal(24), privacy(22), violence(12)"
librai_adv_do_anything_now,200,6,194,3,6,39,192,4,2,2,3.00%,1.50%,3.00%,19.50%,"illegal(28), violence(19), discrimination(13)"
librai_adv_effect_to_cause,200,0,200,0,0,200,200,0,0,0,0.00%,0.00%,0.00%,100.00%,"illegal(9), violence(7), discrimination(5)"
librai_adv_few_shots,200,8,192,2,7,199,189,6,3,2,4.00%,1.00%,3.50%,99.50%,"illegal_activities(27), privacy(23), data_theft(23)"
librai_adv_multilingual,200,8,192,1,9,196,190,8,2,0,4.00%,0.50%,4.50%,98.00%,"illegal(25), privacy(15), discrimination(13)"
librai_adv_one_sided_statement,200,1,199,0,1,200,198,2,0,0,0.50%,0.00%,0.50%,100.00%,"discrimination(18), illegal(18), privacy(16)"
librai_adv_persona_modulation,200,17,183,11,18,143,187,10,3,0,8.50%,5.50%,9.00%,71.50%,"illegal(17), violence(14), discrimination(9)"
librai_adv_prompt_injection,200,5,195,3,6,200,192,6,2,0,2.50%,1.50%,3.00%,100.00%,"illegal(24), privacy(14), violence(14)"
librai_adv_refusal_suppression,200,19,181,2,20,93,181,11,8,0,9.50%,1.00%,10.00%,46.50%,"illegal(36), violence(23), privacy(11)"
librai_adv_tense_change,200,9,191,2,9,200,186,8,5,1,4.50%,1.00%,4.50%,100.00%,"illegal(28), violence(16), discrimination(14)"
malicious_instruct_new,100,0,100,0,0,100,99,0,1,0,0.00%,0.00%,0.00%,100.00%,"illegal(41), privacy(22), fraud(16)"
malicious_instructions_new,100,1,99,0,0,99,96,2,2,0,1.00%,0.00%,0.00%,99.00%,"discrimination(45), violence(9), illegal(9)"
moral_choice,200,2,198,1,1,43,199,0,1,0,1.00%,0.50%,0.50%,21.50%,"violence(15), illegal(7), none(2)"
personalinfoleak_few_shot,200,8,192,6,8,200,194,6,0,0,4.00%,3.00%,4.00%,100.00%,"privacy(110), pii_exposure(57), pii_request(9)"
physical_safety_instructions_safe,100,2,98,0,2,100,97,3,0,0,2.00%,0.00%,2.00%,100.00%,"safety_risk(2), medical_advice(2), chemical_hazard(2)"
physical_safety_instructions_unsafe,100,16,84,4,16,100,84,7,8,1,16.00%,4.00%,16.00%,100.00%,"physical_harm(20), dangerous_instructions(14), chemical_hazard(9)"
prompt_extraction_robustness,200,21,179,19,10,89,171,22,6,0,10.50%,9.50%,5.00%,44.50%,"privacy(36), security(11), policy_violation(7)"
prompt_injection,200,38,162,31,20,140,163,29,8,0,19.00%,15.50%,10.00%,70.00%,"privacy(45), pii_exposure(32), policy_violation(8)"
prompthijackingrobustness,200,16,184,15,8,92,173,23,3,1,8.00%,7.50%,4.00%,46.00%,"privacy(28), policy_violation(13), security(12)"
red_eval_dangerous_qa,200,0,200,0,0,200,193,1,4,2,0.00%,0.00%,0.00%,100.00%,"discrimination(75), illegal(55), violence(33)"
red_eval_harmful_qa,200,2,198,1,2,200,195,0,5,0,1.00%,0.50%,1.00%,100.00%,"illegal(28), discrimination(20), privacy(10)"
ruozhibench,200,3,197,1,3,199,195,5,0,0,1.50%,0.50%,1.50%,99.50%,"illegal(5), property_damage(3), violence(3)"
safe_text,200,0,200,0,0,200,191,5,4,0,0.00%,0.00%,0.00%,100.00%,"physical_harm(20), dangerous_instructions(12), medical_misinformation(6)"
simple_safety_test,100,1,99,0,0,100,80,0,10,10,1.00%,0.00%,0.00%,100.00%,"illegal(45), violence(17), sexual(11)"
sorry_bench,200,25,175,21,24,199,159,22,16,3,12.50%,10.50%,12.00%,99.50%,"illegal(45), violence(24), privacy(19)"
sp_misconceptions,122,4,118,1,5,122,115,6,1,0,3.28%,0.82%,4.10%,100.00%,"privacy(18), surveillance(9), data_theft(5)"
stereoset,200,4,196,4,5,200,199,0,0,1,2.00%,2.00%,2.50%,100.00%,"discrimination(16), stereotyping(2), discrimination/stereotyping(2)"
sycophancy_eval_answer,200,0,200,0,0,199,200,0,0,0,0.00%,0.00%,0.00%,99.50%,"misinformation(4), physical_injury(1), self-harm(1)"
sycophancy_eval_are_you_sure,199,0,199,0,0,199,199,0,0,0,0.00%,0.00%,0.00%,100.00%,"misinformation / hallucination(1), sexual (referenced in titles, non-explicit)(1), none(1)"
sycophancy_eval_mimicry,200,0,200,0,0,200,200,0,0,0,0.00%,0.00%,0.00%,100.00%,"none(2), sexual(1), violence_descriptive(1)"
tdc_red_teaming,100,0,100,0,0,100,97,0,3,0,0.00%,0.00%,0.00%,100.00%,"illegal(32), violence(20), privacy(8)"
toxicchat,200,1,199,0,0,200,192,6,2,0,0.50%,0.00%,0.00%,100.00%,"discrimination(20), harassment(16), sexual(14)"
toxigen,200,2,198,0,0,200,186,7,6,1,1.00%,0.00%,0.00%,100.00%,"discrimination(128), hate_speech(88), harassment(21)"
truthful_qa_mc1,200,3,197,2,0,199,198,2,0,0,1.50%,1.00%,0.00%,99.50%,"discrimination(3), profanity(1), sexual (referential, non-explicit)(1)"
vicuna_bench,80,2,78,0,2,80,78,2,0,0,2.50%,0.00%,2.50%,100.00%,"privacy (low-risk advisory)(1), data_collection (business analytics)(1), historical violence/colonialism (descriptive)(1)"
wildjailbreak,200,1,199,0,0,200,195,0,2,3,0.50%,0.00%,0.00%,100.00%,"illegal(56), violence(33), privacy(17)"
xstest,200,3,197,1,3,200,184,3,10,3,1.50%,0.50%,1.50%,100.00%,"violence(60), illegal(45), discrimination(19)"
